check_id,file,start_line,start_col,start_offset,severity,impact,message,references
"rules.generic.secrets.security.detected-jwt-token","/src/smspanel/.claude/settings.local.json",11,21,242,"ERROR","MEDIUM","JWT token detected","https://semgrep.dev/blog/2020/hardcoded-secrets-unverified-tokens-and-other-common-jwt-mistakes/"
"rules.generic.secrets.gitleaks.jwt","/src/smspanel/.claude/settings.local.json",11,21,242,"INFO","MEDIUM","A gitleaks jwt was detected which attempts to identify hard-coded credentials. It is not recommended to store credentials in source-code, as this risks secrets being leaked and used by either an internal or external malicious adversary. It is recommended to use environment variables to securely provide credentials or retrieve credentials from a secure vault or HSM (Hardware Security Module).","https://cheatsheetseries.owasp.org/cheatsheets/Secrets_Management_Cheat_Sheet.html"
"rules.generic.secrets.security.detected-ssh-password","/src/smspanel/.gitea/workflows/deploy_gnet.yaml",44,9,1103,"ERROR","MEDIUM","SSH Password detected","https://owasp.org/Top10/A07_2021-Identification_and_Authentication_Failures"
"rules.generic.secrets.security.detected-sonarqube-docs-api-key","/src/smspanel/.gitea/workflows/deploy_gnet.yaml",46,170,1456,"ERROR","MEDIUM","SonarQube Docs API Key detected","https://owasp.org/Top10/A07_2021-Identification_and_Authentication_Failures"
"rules.generic.secrets.security.detected-ssh-password","/src/smspanel/.gitea/workflows/deploy_gnet.yaml",51,9,1586,"ERROR","MEDIUM","SSH Password detected","https://owasp.org/Top10/A07_2021-Identification_and_Authentication_Failures"
"rules.generic.secrets.security.detected-ssh-password","/src/smspanel/.gitea/workflows/deploy_gnet.yaml",62,9,2128,"ERROR","MEDIUM","SSH Password detected","https://owasp.org/Top10/A07_2021-Identification_and_Authentication_Failures"
"rules.generic.secrets.security.detected-ssh-password","/src/smspanel/.gitea/workflows/deploy_gnet.yaml",89,9,3236,"ERROR","MEDIUM","SSH Password detected","https://owasp.org/Top10/A07_2021-Identification_and_Authentication_Failures"
"rules.generic.secrets.security.detected-ssh-password","/src/smspanel/.gitea/workflows/deploy_gnet.yaml",92,9,3473,"ERROR","MEDIUM","SSH Password detected","https://owasp.org/Top10/A07_2021-Identification_and_Authentication_Failures"
"rules.ai.generic.detect-generic-ai-anthprop","/src/smspanel/CLAUDE.md",3,45,59,"INFO",,"Possibly found usage of AI: Anthropic","https://semgrep.dev/blog/2024/detecting-shadow-ai"
"rules.dockerfile.audit.dockerfile-source-not-pinned","/src/smspanel/Dockerfile",1,1,0,"INFO",,"To ensure reproducible builds, pin Dockerfile `FROM` commands to a specific hash. You can find the hash by running `docker pull python` and then  specify it with `python:3.12-slim@sha256:<hash goes here>`","https://stackoverflow.com/a/33511811/4965"
"rules.dockerfile.security.secret-in-build-arg","/src/smspanel/Dockerfile",5,1,74,"WARNING","HIGH","Docker build time arguments are not suited for secrets, because the argument values are saved with the image. Running `docker image history` on the image will show information on how the image was built, including arguments. If these contain plain text secrets, anyone with access to the docker image can access those secrets and exploit them.","https://cwe.mitre.org/data/definitions/538.html; https://docs.docker.com/engine/reference/builder/#arg"
"rules.generic.secrets.gitleaks.generic-api-key","/src/smspanel/README.md",152,33,5765,"INFO","MEDIUM","A gitleaks generic-api-key was detected which attempts to identify hard-coded credentials.  It is not recommended to store credentials in source-code, as this risks secrets being leaked  and used by either an internal or external malicious adversary. It is recommended to use  environment variables to securely provide credentials or retrieve credentials from a  secure vault or HSM (Hardware Security Module). This rule can introduce a lot of false positives,  it is not recommended to be used in PR comments.","https://cheatsheetseries.owasp.org/cheatsheets/Secrets_Management_Cheat_Sheet.html"
"rules.python.django.security.audit.unvalidated-password","/src/smspanel/init_db.py",30,13,839,"WARNING","MEDIUM","The password on 'admin' is being set without validating the password. Call django.contrib.auth.password_validation.validate_password() with validation functions before setting the password. See https://docs.djangoproject.com/en/3.0/topics/auth/passwords/ for more information.","https://docs.djangoproject.com/en/3.0/topics/auth/passwords/#module-django.contrib.auth.password_validation"
"rules.python.lang.maintainability.is-function-without-parentheses","/src/smspanel/init_db.py",32,13,934,"WARNING",,"Is ""is_admin"" a function or an attribute? If it is a function, you may have meant admin.is_admin() because admin.is_admin is always true.",""
